audit_id,audit_date,department_name,finding,severity,status,manager_id,project_id
127,2026-01-26,Analytics,Firm answer former modern require seem.,Low,Closed,316,78
128,2026-03-30,Analytics,Campaign week reveal chair.,Low,In Review,387,279
129,2026-01-25,Operations,Key training coach lose.,Critical,Open,30,252
130,2026-03-25,Logistics,Until whole evidence former star interview.,Critical,Open,309,94
131,2026-04-08,Analytics,Walk cut third best happy.,Critical,Open,305,288
132,2026-03-30,Veterinary,Animal that Mrs.,High,Open,354,338
133,2026-01-30,Analytics,Attack prove Mr world executive house keep.,High,Open,122,38
134,2026-01-07,Veterinary,Food heart course others help.,High,Open,296,469
135,2026-02-12,Analytics,Sense often because service.,Medium,In Review,368,20
136,2026-01-06,Analytics,News item bed size to.,Low,Open,494,209
137,2026-02-10,Operations,Let site wish appear push.,Critical,Closed,7,43
138,2026-01-21,Veterinary,Guy perhaps before.,Critical,In Review,327,294
139,2026-02-21,Operations,Born result animal seem.,Critical,Closed,476,484
140,2026-01-12,Operations,Spring response leader despite if past.,Critical,Open,307,125
141,2026-01-02,Veterinary,Under role prepare ground current.,Low,In Review,203,161
142,2026-04-05,Operations,Front be tough become event every.,Low,Closed,387,274
143,2026-03-18,Veterinary,News son visit.,Medium,Closed,228,395
144,2026-01-08,Analytics,Score assume anyone than letter arrive.,High,Open,384,77
145,2026-01-13,Analytics,Between create member change.,Medium,Closed,452,86
146,2026-03-30,Veterinary,Ready line service somebody.,High,Closed,475,426
147,2026-02-01,Logistics,Hundred simply health Democrat.,Medium,Open,110,427
148,2026-02-06,Veterinary,Bar provide serve grow.,Critical,In Review,269,198
149,2026-03-07,Analytics,Partner kitchen oil.,Medium,Closed,395,198
150,2026-02-27,Analytics,Glass material service would trip pass.,Low,Closed,76,237
151,2026-03-18,Logistics,House keep north.,Medium,In Review,301,208
152,2026-01-03,Veterinary,Military next expect western any statement.,Medium,Closed,127,189
153,2026-01-07,Logistics,Nothing than event just past.,Low,Closed,264,161
154,2026-02-13,Logistics,Official too practice class.,Medium,Closed,223,455
155,2026-04-08,Logistics,Just admit peace development.,High,Open,238,299
156,2026-03-16,Operations,Far than financial.,Medium,In Review,309,364
157,2026-02-05,Logistics,Message loss white without.,High,In Review,439,261
158,2026-04-01,Veterinary,Ago suffer policy either.,High,Closed,423,340
159,2026-01-28,Operations,Determine word box store great.,High,Open,457,495
160,2026-01-14,Veterinary,Card table technology bar this.,Low,Closed,320,445
161,2026-03-10,Operations,Parent line newspaper raise however fear.,Critical,Open,481,466
162,2026-02-24,Analytics,Cup many real recent fear.,Critical,Closed,250,310
163,2026-01-29,Analytics,Week mean less eight.,Critical,Open,191,14
164,2026-03-02,Analytics,Good fight price simply instead senior.,Low,Open,104,495
165,2026-04-09,Operations,Central either thing bad guess.,Critical,In Review,158,305
166,2026-03-07,Veterinary,Bit of style lot skin.,Critical,Open,142,39
167,2026-02-14,Logistics,Finish behavior result science.,High,Open,353,297
168,2026-01-15,Logistics,Must now however.,Low,Closed,402,26
169,2026-03-24,Logistics,With both hot set him sort.,Low,Open,55,225
170,2026-04-02,Analytics,Admit believe those five avoid above.,Critical,Closed,444,411
171,2026-03-02,Operations,And white appear test.,High,Closed,428,411
172,2026-01-29,Veterinary,Another level data off.,Low,Open,151,444
173,2026-01-26,Operations,First especially national community.,Critical,In Review,238,392
174,2026-02-23,Veterinary,Main list for attention lead worry.,Critical,In Review,152,211
175,2026-01-15,Operations,Military front call.,Low,Open,357,264
176,2026-04-11,Operations,Customer while answer forward.,Low,In Review,331,320
177,2026-02-23,Analytics,Congress trouble become hold yourself.,Medium,Closed,30,235
178,2026-02-14,Veterinary,Have page soldier cell thought yard.,Critical,Closed,244,233
179,2026-01-21,Veterinary,Without far someone turn.,Low,Open,177,299
180,2026-01-22,Logistics,Each trade including a including worry.,Critical,Closed,270,65
181,2026-02-27,Analytics,Level market expect will.,Medium,In Review,470,348
182,2026-03-27,Operations,Language team agent usually focus.,Critical,Open,26,451
183,2026-02-28,Logistics,Area important health push.,High,Closed,286,428
184,2026-03-28,Operations,Whom lay participant turn.,Medium,Closed,441,310
185,2026-04-07,Analytics,Computer scene series better finish room.,Medium,In Review,195,306
186,2026-02-18,Logistics,Adult blue enough.,Medium,Closed,195,375
187,2026-04-01,Logistics,Ability beyond tax partner late.,High,Open,311,455
188,2026-02-23,Operations,News rate program.,Low,In Review,318,290
189,2026-03-09,Logistics,Region firm according send attention human.,High,Open,437,285
190,2026-04-01,Analytics,Deal open these international.,High,Closed,195,28
191,2026-01-21,Logistics,Expect lawyer Democrat.,High,In Review,457,292
192,2026-03-04,Operations,Somebody program during say right.,Critical,Closed,149,157
193,2026-03-16,Veterinary,Collection or history.,High,Open,264,181
194,2026-02-10,Operations,His indeed situation within small yes.,Low,Open,260,279
195,2026-01-26,Veterinary,Break if them of study.,High,Open,486,428
196,2026-01-05,Logistics,Technology kitchen major music enough.,Critical,Open,27,37
197,2026-02-22,Analytics,Involve develop force next focus political.,Medium,In Review,402,474
198,2026-03-19,Logistics,Discover situation of each.,Low,Open,1,313
199,2026-01-04,Operations,Tv either concern nor would each.,Critical,Open,184,280
200,2026-02-03,Operations,Development heart central war.,Low,Open,325,486
201,2026-01-08,Operations,Coach keep ask sea art country.,Critical,Open,296,307
202,2026-02-22,Operations,For quite result.,Medium,Closed,274,198
203,2026-01-21,Veterinary,Bank affect prove.,Low,Closed,319,308
204,2026-03-11,Analytics,Finally simple might if high.,Medium,Open,447,90
205,2026-01-10,Operations,Usually security score maybe sort character.,Low,In Review,184,31
206,2026-03-11,Operations,Meet keep poor.,High,In Review,89,315
207,2026-01-18,Veterinary,Reveal step turn.,Critical,In Review,80,230
208,2026-04-06,Analytics,Short plan reason policy.,Critical,In Review,45,189
209,2026-01-31,Logistics,Another painting how first compare agent.,Low,Open,376,116
210,2026-01-01,Logistics,Decide right role.,Medium,Open,17,269
211,2026-04-07,Analytics,Heavy keep report.,High,In Review,436,240
212,2026-03-16,Logistics,Clear course power early.,Low,Open,22,200
213,2026-01-01,Veterinary,Economy agency out occur sometimes.,Critical,Closed,483,382
214,2026-03-05,Operations,Service new or.,High,Closed,484,161
215,2026-03-02,Operations,Analysis work million blood.,Critical,In Review,22,121
216,2026-02-13,Logistics,Know several easy usually item time.,Medium,Closed,82,349
217,2026-04-01,Analytics,Never service other director.,Medium,Open,121,73
218,2026-04-02,Operations,His training agreement.,High,Open,128,390
219,2026-04-07,Operations,More how present.,Medium,In Review,441,368
220,2026-03-30,Analytics,Ever camera heavy hospital.,Low,In Review,499,486
221,2026-01-15,Logistics,Write hit letter its.,High,In Review,228,305
222,2026-01-29,Operations,Series safe worker one bad but.,High,Open,427,371
223,2026-03-18,Logistics,Carry shake approach.,Low,Closed,380,482
224,2026-01-27,Logistics,Different whose collection.,High,Open,325,236
225,2026-03-20,Operations,Operation not mouth summer remember against.,Low,In Review,346,303
226,2026-04-01,Operations,Perform artist bit within where attorney.,High,Closed,127,63
227,2026-04-03,Analytics,Next authority these claim authority.,High,Open,245,495
228,2026-03-30,Analytics,Represent late state right she hair.,Low,Closed,253,48
229,2026-02-05,Veterinary,Through specific discuss short individual usually.,Low,In Review,394,208
230,2026-01-15,Veterinary,Able responsibility economic risk suffer through.,Medium,Closed,294,348
231,2026-03-16,Logistics,Season she what chair.,Medium,Closed,441,381
232,2026-04-12,Logistics,Citizen rise could measure.,Low,Open,106,123
233,2026-02-05,Analytics,Personal finally time.,Low,Closed,256,361
234,2026-04-05,Logistics,Seem memory traditional animal suggest call.,High,Open,494,45
235,2026-03-07,Veterinary,Sure mind environmental million adult.,Critical,Open,94,359
236,2026-04-08,Veterinary,Go enter detail address resource station.,Critical,Closed,381,365
237,2026-01-11,Veterinary,Anything still glass.,Medium,In Review,484,427
238,2026-02-03,Analytics,Real second than maybe western.,Low,Open,298,9
239,2026-02-20,Veterinary,Culture will bill dream car.,Medium,Open,442,66
240,2026-04-11,Veterinary,Exist true lead.,Low,Open,76,377
241,2026-02-05,Analytics,Authority use there Mr pattern.,Low,In Review,159,382
242,2026-03-20,Analytics,Measure analysis member response think various.,Medium,Open,328,59
243,2026-03-02,Veterinary,For television describe as now little hold.,Low,In Review,406,197
244,2026-01-13,Veterinary,Arm grow sense strategy painting letter.,High,Closed,357,365
245,2026-03-15,Analytics,Such worry discover away.,Critical,Closed,120,191
246,2026-03-26,Veterinary,Begin both civil.,High,In Review,389,416
247,2026-01-08,Operations,Modern later many not.,Critical,Open,180,146
248,2026-02-07,Logistics,Study again must.,Critical,In Review,207,426
249,2026-01-15,Operations,Song process toward computer.,Medium,In Review,243,497
250,2026-02-28,Analytics,International within heart international consider term.,Low,In Review,38,49
251,2026-03-02,Analytics,Watch make ok site within.,Critical,In Review,329,293
252,2026-03-02,Operations,Sometimes foreign top customer.,Critical,Closed,172,355
253,2026-02-19,Logistics,Hospital surface impact assume artist tree.,Medium,Closed,271,99
254,2026-02-20,Logistics,Agreement picture tonight four work local.,High,Closed,169,373
255,2026-01-10,Analytics,Authority myself court treatment.,High,In Review,279,101
256,2026-03-12,Operations,Local letter whole Congress agreement reveal.,Low,In Review,18,217
257,2026-04-09,Veterinary,Policy activity he blue.,High,Closed,300,189
258,2026-03-03,Veterinary,Lose exactly minute trouble.,Low,Open,307,224
259,2026-01-13,Veterinary,Choose Democrat break stand the long.,Medium,In Review,259,373
260,2026-04-03,Operations,Pay wind road.,Low,Open,98,36
261,2026-04-04,Analytics,Speak sister federal.,Critical,In Review,187,20
262,2026-02-05,Analytics,Lose whole meet effect its.,Medium,In Review,153,404
263,2026-01-14,Veterinary,Discuss relate least official.,Medium,Open,278,2
264,2026-03-18,Veterinary,Against upon new.,Critical,Open,294,43
265,2026-03-09,Logistics,Suddenly believe card.,Low,In Review,96,411
266,2026-01-25,Analytics,Bring feel yes certainly data.,Low,In Review,397,288
267,2026-01-17,Logistics,If great her reality financial son.,High,Open,262,199
268,2026-03-13,Analytics,Could house wear local.,Critical,Open,178,447
269,2026-04-04,Logistics,Focus kitchen some gas then create.,Medium,Closed,483,116
270,2026-01-14,Veterinary,Worry phone summer yard.,High,Closed,328,469
271,2026-03-06,Operations,Phone thought none.,Critical,Open,242,489
272,2026-03-20,Analytics,Great short training so.,Medium,Closed,23,323
273,2026-01-08,Analytics,Stand peace form grow.,Medium,In Review,4,24
274,2026-02-18,Veterinary,Wonder head line.,High,In Review,398,357
275,2026-01-27,Analytics,Show bad trip enter.,Critical,In Review,250,264
276,2026-01-23,Veterinary,Note allow with part police.,Low,Open,74,455
277,2026-03-31,Operations,Go nation understand appear meeting.,Low,Closed,237,348
278,2026-02-21,Operations,Could wall marriage organization.,High,Open,75,366
279,2026-02-24,Veterinary,Hot these attention.,Medium,In Review,485,187
280,2026-03-12,Veterinary,Side environment city spend.,Medium,Open,247,356
281,2026-01-14,Operations,Contain deep reason.,Low,Closed,10,235
282,2026-02-16,Analytics,Several alone event bar world reflect.,High,Open,186,425
283,2026-02-08,Veterinary,Receive crime behind and save score.,Low,Closed,257,72
284,2026-01-19,Veterinary,Throw skill get size either.,Medium,Closed,335,29
285,2026-03-14,Logistics,Never TV measure now article.,Critical,In Review,69,333
286,2026-02-11,Analytics,Themselves know wonder.,Medium,Closed,214,12
287,2026-03-03,Veterinary,Hear chance leg.,Low,Closed,243,251
288,2026-04-05,Veterinary,Thank although history raise say seem.,Low,Open,478,262
289,2026-01-24,Operations,Body all small.,Medium,In Review,439,399
290,2026-02-26,Veterinary,Degree this social however reality.,Low,In Review,147,479
291,2026-03-06,Analytics,Also up election threat effect.,High,In Review,163,306
292,2026-01-08,Operations,Many outside resource.,Low,Closed,477,194
293,2026-03-03,Veterinary,Arrive social stop customer.,Medium,In Review,477,423
294,2026-04-03,Logistics,Million peace she process.,High,In Review,479,465
295,2026-03-15,Veterinary,Air production charge relationship fill allow.,Low,Closed,334,217
296,2026-01-27,Analytics,Project wear still.,Medium,Open,318,449
297,2026-01-08,Analytics,Evening north couple.,Medium,Closed,429,487
298,2026-01-30,Operations,Station figure because participant.,Low,Open,97,361
299,2026-01-05,Veterinary,Season wish site piece friend.,Critical,Open,29,267
300,2026-02-18,Operations,Too say our.,High,In Review,134,438
301,2026-02-05,Veterinary,Trial any important teach different.,Critical,Closed,434,461
302,2026-02-10,Logistics,Week last business natural race.,Medium,In Review,240,343
303,2026-03-24,Analytics,Machine soon realize manager.,High,Open,494,483
304,2026-04-01,Analytics,Quality pass cut three ahead.,Low,Closed,329,312
305,2026-01-28,Operations,Past price ask.,High,Open,215,251
306,2026-02-14,Logistics,Agent moment big.,Medium,In Review,497,41
307,2026-01-05,Veterinary,Blood same hope success.,Medium,Closed,38,179
308,2026-04-06,Operations,Various section his.,Medium,Open,187,188
309,2026-02-15,Analytics,Theory defense explain direction free.,Critical,In Review,433,146
310,2026-03-13,Analytics,Seat bit only.,Medium,Closed,197,279
311,2026-04-08,Logistics,Production fact difficult drug man hear.,Critical,In Review,164,455
312,2026-03-30,Logistics,Cultural eat two kind happen Republican.,High,Open,103,237
313,2026-01-29,Logistics,Record say worry benefit meet even.,Medium,Open,340,357
314,2026-03-21,Analytics,Pay people respond.,Medium,Closed,232,444
315,2026-02-01,Logistics,Peace why production life.,Critical,Open,156,139
316,2026-03-04,Veterinary,Like magazine land prove.,Critical,Closed,233,384
317,2026-03-20,Logistics,Floor power in plant big two.,Critical,In Review,444,432
318,2026-01-06,Analytics,Behind nor economic fund race certainly.,Low,In Review,246,286
319,2026-03-17,Veterinary,Nothing seven feeling.,Medium,Closed,410,56
320,2026-03-15,Analytics,Believe see right.,Low,Open,257,261
321,2026-01-18,Operations,Piece floor hold be.,Medium,In Review,362,180
322,2026-02-07,Analytics,Agent source improve first member.,Low,Closed,69,309
323,2026-03-28,Analytics,Happen central ball.,Low,Closed,464,227
324,2026-01-04,Operations,Guess draw first.,High,Open,409,436
325,2026-04-05,Logistics,Especially arrive us finally week.,Low,In Review,206,387
326,2026-02-12,Veterinary,Travel anything both wind want whatever.,Medium,Closed,323,316
327,2026-01-09,Logistics,Order safe forget wind.,Critical,Open,427,165
328,2026-01-28,Analytics,Need animal industry federal he air.,Medium,Open,180,100
329,2026-03-09,Veterinary,Common guy catch field begin.,Medium,In Review,382,342
330,2026-02-15,Logistics,Lot rule scene pattern.,High,In Review,408,156
331,2026-03-22,Analytics,Hold know buy establish ten responsibility.,Low,In Review,113,51
332,2026-04-02,Veterinary,Health grow recent kitchen economic from majority.,Low,Open,331,73
333,2026-03-09,Veterinary,Almost bit system human.,Critical,In Review,220,345
334,2026-02-03,Logistics,Play event could.,High,Open,78,70
335,2026-04-09,Veterinary,Throw box next decide.,Medium,Open,55,54
336,2026-03-30,Analytics,New room face owner.,Critical,Closed,193,264
337,2026-03-25,Analytics,Stage hand nice practice several response.,Medium,In Review,408,439
338,2026-03-15,Operations,Your think for authority state.,Low,In Review,387,66
339,2026-01-29,Operations,Pull start finish.,Critical,Closed,28,293
340,2026-01-01,Logistics,Each left energy election couple.,Medium,In Review,64,282
341,2026-03-15,Logistics,Everyone few performance tend.,Low,Open,415,111
342,2026-03-20,Veterinary,Difference attack develop project.,High,Closed,499,294
343,2026-02-19,Operations,Seven green mission.,Medium,Open,361,426
344,2026-01-30,Logistics,Every director up watch.,Low,In Review,275,252
345,2026-03-23,Logistics,Just away boy production visit.,Low,Closed,23,88
346,2026-04-12,Operations,Every remember term you.,Low,Open,77,417
347,2026-03-25,Logistics,Statement point realize offer bar.,Medium,Open,426,384
348,2026-03-07,Operations,Building news local two.,Low,Closed,237,497
349,2026-04-10,Analytics,Strategy from speech executive person.,Medium,Open,214,243
350,2026-03-15,Logistics,Person pretty war nor about.,High,Open,465,383
351,2026-02-18,Logistics,Professional child likely.,High,In Review,270,275
352,2026-03-24,Operations,Player mention news quality entire choice.,Medium,Closed,393,363
353,2026-01-01,Operations,Day side professor.,Low,In Review,478,274
354,2026-03-14,Analytics,South gun heart laugh real.,Medium,In Review,173,191
355,2026-01-23,Logistics,Wall near painting example happy morning.,Medium,Open,5,479
356,2026-01-20,Operations,Color national back year cold according.,Low,Open,460,76
357,2026-03-23,Operations,Simply foot inside.,High,In Review,102,433
358,2026-01-22,Analytics,Foreign professional office modern school.,Critical,Open,345,345
359,2026-04-03,Analytics,Decide mission second language exist TV.,Low,Closed,89,328
360,2026-01-08,Logistics,Knowledge light kind.,Critical,Closed,433,214
361,2026-03-10,Analytics,Adult star every front since.,Critical,In Review,197,89
362,2026-04-12,Analytics,Character money perhaps front draw party.,High,In Review,377,166
363,2026-01-24,Operations,Agency these test realize before.,Low,Closed,164,264
364,2026-03-07,Operations,Put nation again.,Low,Open,238,442
365,2026-03-30,Veterinary,Blood land home different line.,Medium,Open,358,67
366,2026-01-27,Analytics,Yard hair four until audience.,Low,In Review,319,330
367,2026-02-10,Operations,Speech pay describe.,High,Open,244,303
368,2026-03-12,Operations,Thus realize PM.,High,In Review,346,66
369,2026-04-01,Analytics,Sport deep none national.,Low,In Review,61,445
370,2026-01-25,Logistics,Experience administration foreign would include same.,Critical,Closed,6,106
371,2026-02-25,Operations,Alone social blue energy out.,Low,Open,248,455
372,2026-01-23,Operations,Pressure finally because itself.,Medium,In Review,365,89
373,2026-04-12,Veterinary,Sure name responsibility must modern good.,Critical,In Review,160,446
374,2026-01-30,Operations,Music little for.,Medium,Open,50,326
375,2026-01-15,Operations,Everyone grow financial.,Medium,In Review,413,244
376,2026-03-14,Operations,Than hear little.,Critical,Open,415,7
377,2026-01-26,Veterinary,Relate back story.,Medium,In Review,438,28
378,2026-01-11,Analytics,Perhaps thus to.,Low,Open,13,229
379,2026-02-11,Operations,I debate message.,Low,Closed,349,40
380,2026-03-16,Veterinary,Seven my significant.,Low,Closed,24,246
381,2026-03-23,Analytics,Ball month it citizen detail have.,Low,Closed,81,21
382,2026-01-23,Logistics,Future kitchen shoulder key market.,Medium,Closed,275,416
383,2026-01-13,Operations,Area raise west smile water.,Critical,In Review,460,356
384,2026-01-01,Logistics,Price rich image yourself.,High,In Review,482,373
385,2026-04-12,Operations,List necessary me operation.,Low,Open,266,257
386,2026-02-01,Analytics,Son check father generation.,Medium,In Review,84,174
387,2026-01-09,Veterinary,Better woman type.,Critical,Open,178,244
388,2026-04-02,Analytics,Help professional I least spring.,Critical,Closed,247,61
389,2026-02-04,Operations,Ability nature success contain open.,Low,Open,302,306
390,2026-01-29,Logistics,Scene picture its let several.,High,Closed,8,21
391,2026-03-08,Analytics,Share say common.,High,Closed,29,258
392,2026-02-20,Analytics,Shake party week.,Low,In Review,156,451
393,2026-02-12,Operations,Effort leader free practice site.,High,In Review,249,232
394,2026-01-12,Veterinary,Prevent concern amount eat very dark.,Medium,Open,416,158
395,2026-04-04,Analytics,Doctor fish grow sister appear.,Critical,Closed,335,1
396,2026-01-02,Operations,Last better nothing fear turn.,Critical,In Review,81,48
397,2026-02-20,Operations,Late day education.,Low,Open,491,473
